ax,ay,az,gx,gy,gz,temp,time
-48,-12712,12232,-6175,74,-112,2736,165216
-68,-13004,11760,-6228,-137,-138,2672,165237
-84,-13152,11500,-5734,-626,15,2720,165258
0,-13416,11244,-4894,-305,-327,2720,165279
48,-13548,10884,-3612,-272,-365,2704,165300
136,-13600,11020,-2727,215,-504,2736,165321
128,-13512,11124,-2592,545,-697,2704,165342
148,-13644,10928,-2921,891,-826,2704,165363
172,-13928,10604,-2571,670,-683,2704,165384
196,-13912,10528,-2080,579,-439,2672,165405
152,-13788,10492,-2253,307,-276,2672,165426
212,-13692,10576,-3467,496,-483,2720,165447
236,-14004,10388,-4372,926,-824,2672,165468
172,-14416,9840,-3738,548,-512,2704,165489
328,-14220,9944,-3071,577,-535,2736,165510
328,-14484,9620,-2440,822,-554,2704,165531
336,-14344,9688,-2200,1097,-734,2768,165552
224,-14660,9324,-2091,1331,-790,2720,165573
256,-14568,9244,-1659,659,-347,2704,165594
364,-14572,9356,-1473,928,-496,2720,165615
424,-14460,9496,-1495,1211,-680,2736,165636
272,-14656,9060,-1674,1513,-775,2736,165657
236,-14724,8940,-1776,522,-194,2704,165678
308,-14632,9160,-2553,252,-54,2736,165699
372,-14800,8864,-3099,77,-88,2768,165720
276,-14808,8604,-3783,-506,198,2736,165741
468,-15012,8500,-4302,-1080,308,2704,165762
376,-15088,8208,-3946,-931,246,2720,165783
452,-15208,7992,-3787,-556,56,2656,165804
424,-15196,7772,-3350,-1270,348,2640,165825
436,-15396,7740,-2534,-1080,294,2704,165846
384,-15448,7280,-1707,-1262,488,2704,165867
508,-15304,7660,-1244,-536,191,2736,165888
544,-15180,7820,-1770,123,-103,2720,165909
436,-15424,7380,-1479,178,-119,2672,165930
512,-15532,7176,-1326,289,-141,2704,165951
556,-15708,7004,-593,393,-84,2704,165972
536,-15380,7216,95,296,31,2784,165993
524,-15360,7288,-629,327,-60,2704,166014
520,-15380,7192,-1297,559,-197,2736,166035
584,-15384,7332,-2004,911,-363,2656,166056
536,-15840,6512,-2136,917,-309,2720,166077
616,-15788,6656,-957,630,-69,2720,166098
508,-15488,6788,-950,1375,-461,2736,166119
648,-15620,6960,-1264,2596,-802,2656,166140
604,-15484,6844,-1392,3611,-1120,2720,166161
264,-16080,5424,-1782,3034,-858,2736,166182
780,-15796,6192,-2177,436,-56,2736,166203
604,-15752,6336,-904,350,-1,2736,166224
484,-15780,6132,-1050,323,-22,2736,166245
520,-15652,6220,-1161,337,-50,2672,166266
588,-15772,6044,-1767,546,-231,2720,166287
576,-15844,5916,-1583,705,-186,2720,166308
684,-15724,6092,-1697,598,-125,2704,166329
648,-15764,6004,-2107,771,-186,2720,166350
568,-15624,5676,-3848,1311,-385,2720,166371
608,-15916,5256,-4456,2081,-514,2768,166392
72,-16116,3932,-4527,1112,-266,2672,166413
704,-16172,4828,-3461,223,-18,2720,166434
680,-16272,4548,-2240,242,26,2720,166455
752,-16088,4584,-1578,286,30,2704,166476
652,-15956,4756,-1833,296,22,2704,166497
716,-16024,4560,-2713,383,-55,2736,166518
620,-16080,4312,-2844,321,21,2736,166539
708,-16152,4232,-3711,240,-23,2704,166560
664,-16188,3812,-3449,177,-16,2736,166581
816,-16396,3628,-2795,75,-8,2672,166602
792,-16316,3452,-1839,-276,121,2768,166623
632,-16164,3512,-1569,-1138,214,2656,166644
740,-16252,3532,-1248,-1277,203,2720,166665
796,-16176,3548,-1439,-1484,183,2656,166686
828,-16420,3256,-1167,-740,146,2704,166707
556,-16196,3356,-1182,-371,67,2816,166728
656,-16156,3064,-1531,-594,90,2736,166749
852,-16268,3160,-1933,-2379,119,2720,166770
432,-16440,2976,-1001,-1104,62,2768,166791
1008,-16240,2680,-780,-1767,214,2672,166812
816,-16196,2760,-1665,-693,54,2672,166833
552,-16408,2692,-1328,-1407,104,2720,166854
468,-16420,2920,-564,-1299,77,2720,166875
828,-16260,2416,-651,-892,79,2736,166896
580,-15940,2876,-1848,-429,12,2720,166917
564,-16332,2564,-1380,-982,56,2720,166938
684,-16200,2548,-645,-1278,97,2736,166959
840,-16432,1972,179,-335,110,2736,166980
676,-16696,1932,406,41,130,2736,167001
808,-16464,2076,418,88,58,2720,167022
836,-16316,2132,-91,281,-6,2736,167043
960,-16308,2224,-934,194,54,2640,167064
752,-16332,2220,-437,278,11,2672,167085
732,-16272,2000,97,225,-36,2704,167106
644,-16336,2076,36,276,7,2672,167127
588,-16444,1808,-460,282,-5,2656,167148
736,-16036,2284,-1357,226,-2,2736,167169
780,-16304,1844,-1827,158,37,2768,167190
624,-16456,1440,-1851,213,-127,2704,167211
848,-16372,1680,-1603,94,23,2720,167232
576,-16360,1560,-1352,-11,1,2656,167253
832,-16376,1368,-609,-170,73,2736,167274
852,-16376,1332,-600,218,57,2768,167295
656,-16200,1500,-706,260,46,2720,167316
712,-16364,1316,-443,232,-3,2704,167337
736,-16320,1372,-255,66,35,2720,167358
624,-16420,1296,-24,-140,16,2704,167379
844,-16376,1156,48,26,18,2720,167400
716,-16352,1120,258,144,24,2720,167421
756,-16152,1348,39,273,-14,2704,167442
760,-16328,1280,-412,226,31,2784,167463
660,-16320,1084,-506,-36,-3,2720,167484
696,-16348,1060,-188,-512,1,2672,167505
848,-16304,1048,-360,49,-15,2704,167526
668,-16376,1140,-611,115,-106,2704,167547
748,-16396,952,-39,-200,-68,2736,167568
740,-16288,1012,379,-580,21,2656,167589
792,-16368,932,197,-233,8,2720,167610
812,-16296,656,592,-26,80,2704,167631
800,-16256,980,512,273,43,2704,167652
