,ax,ay,az,gx,gy,gz,temp,time,CF_x,CF_y
0,-0.2442085693359375,-0.39264907226562495,22.141576953125,3.6793893129770994,2.404580152671756,0.29770992366412213,2704,162739,-0.9402300519767639,0.6813000510499113
1,-0.32082302246093747,-0.38786066894531246,22.05059729003906,3.885496183206107,2.5343511450381677,0.5419847328244275,2704,162759,-0.865423817396431,0.7340159656951012
2,-0.3447650390625,-0.3591302490234375,22.007501660156247,3.5267175572519083,2.480916030534351,0.22137404580152673,2672,162780,-0.7942335010544008,0.7883407210658544
3,-0.316034619140625,-0.44532150878906246,22.074539306640624,3.8091603053435112,2.450381679389313,0.48091603053435117,2720,162801,-0.7230703458793281,0.8394040371925308
4,-0.32561142578124996,-0.4165910888671875,22.12242333984375,3.6717557251908395,2.145038167938931,0.46564885496183206,2656,162822,-0.654620585903924,0.8836229251589887
5,-0.27293898925781246,-0.37828386230468747,22.069750903320312,3.8091603053435112,2.3893129770992365,0.6030534351145038,2704,162843,-0.5827751577651038,0.9292913859784749
6,-0.33518823242187495,-0.4261678955078125,22.170307373046874,3.7404580152671754,2.3893129770992365,0.2748091603053435,2720,162864,-0.5161656353247044,0.977197958042612
7,-0.32082302246093747,-0.5363011718749999,22.060174096679685,3.5801526717557253,2.381679389312977,0.3893129770992366,2640,162885,-0.46001545501663255,1.0233280141691716
8,-0.32082302246093747,-0.47884033203125,22.160730566406247,3.7709923664122136,2.4198473282442747,0.32061068702290074,2704,162906,-0.39796476307350537,1.0692464124392793
9,-0.55545478515625,-0.6081272216796875,22.03144367675781,3.9083969465648853,2.381679389312977,0.183206106870229,2704,162927,-0.341192987782489,1.1257500554587354
10,0.009576806640625,-0.26336218261718747,22.04580888671875,4.0,2.2977099236641223,0.6870229007633588,2704,162948,-0.2657377378449234,1.150024168818327
11,-0.08140285644531249,-0.296881005859375,21.930887207031247,3.816793893129771,2.5801526717557253,0.5114503816793893,2704,162969,-0.19738481175773606,1.184376216706133
12,-0.1149216796875,-0.19632453613281248,22.04580888671875,3.854961832061069,2.7557251908396947,0.24427480916030533,2704,162990,-0.12430645307922625,1.2233747215431172
13,-0.5315127685546874,-0.373495458984375,22.146365356445312,3.5343511450381677,2.282442748091603,0.4732824427480916,2704,163011,-0.0684072571117576,1.2733726864580095
14,-0.44532150878906246,-0.6416460449218749,22.112846533203125,3.6259541984732824,2.49618320610687,0.366412213740458,2672,163032,-0.02565855420103084,1.3223409810654347
15,-0.373495458984375,-0.45489831542968745,21.97398283691406,3.763358778625954,2.351145038167939,0.5190839694656488,2640,163053,0.028585553012829397,1.3637519987306392
16,-0.0143652099609375,-0.3687070556640625,22.112846533203125,3.984732824427481,2.549618320610687,0.6030534351145038,2720,163074,0.0909145493298748,1.3896924235231938
17,-0.2920926025390625,-0.3447650390625,22.055385693359373,3.595419847328244,2.763358778625954,0.37404580152671757,2704,163095,0.14517875188367713,1.4339418004027087
18,-0.26815058593749996,-0.26815058593749996,22.155942163085935,3.732824427480916,2.7251908396946565,0.6183206106870229,2704,163116,0.2052285081734922,1.475214571772717
19,-0.5267243652343749,-0.44532150878906246,21.97398283691406,3.633587786259542,2.5343511450381677,0.5801526717557252,2720,163137,0.25268339607979945,1.5253243459378172
20,-0.316034619140625,-0.45489831542968745,22.19903779296875,3.83206106870229,2.4122137404580153,0.37404580152671757,2720,163158,0.303014954064244,1.560770417361979
21,-0.22505495605468748,-0.49320554199218747,22.012290063476563,3.786259541984733,2.404580152671756,0.4961832061068702,2640,163179,0.34920488211749645,1.5907538297269286
22,-0.1867477294921875,-0.44053310546874996,22.12721174316406,3.9160305343511452,2.5877862595419847,0.31297709923664124,2704,163200,0.400001546254429,1.6218644688285007
23,-0.296881005859375,-0.2825157958984375,21.978771240234373,3.687022900763359,2.5114503816793894,0.5267175572519084,2704,163221,0.4531516238377312,1.6565892070669408
24,-0.4213794921875,-0.40222587890625,22.055385693359373,3.7251908396946565,2.5267175572519083,0.2366412213740458,2720,163242,0.4998571785657627,1.6973442754545949
