ax,ay,az,gx,gy,gz,temp,time
-4416,1728,-15196,4843,6178,-10354,2176,22833
-2880,2004,-16820,4538,6986,-10288,2128,22854
-4068,2372,-17280,4421,6355,-10631,2192,22875
-6896,3436,-16608,3062,3405,-9480,2128,22896
-7020,3096,-14416,400,-225,-7413,2192,22917
-5164,2904,-14168,-1644,-2605,-5458,2176,22938
-3116,3268,-14476,-1970,-1026,-4335,2128,22959
-3584,2876,-14304,-1638,2465,-3717,2208,22980
-6416,3752,-12852,634,3782,-2188,2176,23001
-7960,4252,-12660,876,-116,138,2192,23022
-5808,3804,-13512,-214,-4046,1830,2144,23043
-3016,1660,-13932,684,-4175,1646,2176,23064
-1564,1344,-14632,2513,-1738,979,2192,23085
-3728,2296,-14888,2385,2534,3785,2176,23106
-5000,2304,-15080,1240,-510,5962,2144,23127
-3628,1644,-13952,-51,-6956,7475,2192,23148
-676,964,-13744,-708,-9254,7711,2128,23169
-240,2228,-14456,245,-3802,9330,2192,23190
-3884,1636,-13540,1292,-100,9831,2192,23211
-4432,2212,-14204,1736,-1557,12534,2128,23232
-1680,2232,-16260,-701,-6680,10882,2176,23253
-1056,2608,-18744,-1802,-5190,12965,2128,23274
-1344,248,-17684,-3150,-515,13725,2208,23295
-1964,304,-16784,-1094,271,14501,2240,23316
-600,2396,-17992,-906,1358,15928,2192,23337
360,2188,-18816,-2357,1074,15955,2176,23358
2276,1220,-18500,-2442,2798,15535,2208,23379
4988,-1840,-18424,-2354,4286,12806,2176,23400
2740,1884,-15512,-1164,7124,13148,2176,23421
672,3000,-13868,531,5874,11561,2208,23442
920,3348,-11884,3332,5136,11082,2176,23463
1668,4676,-14272,3817,9020,11644,2176,23484
1680,1700,-15376,2634,7090,9566,2144,23505
1380,-1436,-16928,1202,4683,9990,2176,23526
-1668,-2596,-18396,-1380,4604,9635,2208,23547
-2628,-4784,-19388,129,5539,8138,2128,23568
-2388,-5040,-15572,1922,2671,4579,2208,23589
-4708,-4148,-14644,1585,144,4984,2176,23610
-3324,-1576,-14260,1170,1031,9414,2176,23631
-2004,-7864,-15584,-1508,1974,12780,2176,23652
-1712,-5840,-12316,3866,4956,3566,2192,23673
-3136,-5388,-17200,7134,5975,4171,2208,23694
-3900,-5556,-20428,548,4589,-1007,2128,23715
-3764,-2800,-20852,-375,522,-2079,2192,23736
-5940,-3976,-18396,59,-6045,-3573,2128,23757
-5704,-4408,-17628,-1091,-6103,-3112,2208,23778
-2056,-1860,-17412,1205,-4394,-4185,2144,23799
-6008,-2124,-19508,193,-1481,-4562,2192,23820
-10796,-736,-22752,-1424,-161,-3066,2208,23841
-10576,8,-24848,-2290,-278,-2038,2176,23862
-7692,-640,-26136,-643,-132,-1584,2080,23883
-4044,1552,-28048,762,1377,-2953,2128,23904
-5572,2592,-29960,-818,5976,-3145,2176,23925
-6584,4368,-29276,-534,7934,-3044,2176,23946
-6112,3356,-25884,-1105,7714,-2207,2192,23967
-4864,2724,-20848,-2969,6452,-2681,2176,23988
-3176,3216,-19028,-1699,5761,-2748,2208,24009
-1732,1332,-17140,-524,6710,-3040,2192,24030
-3404,1028,-16188,959,7761,-3164,2176,24051
-3748,1520,-15236,3328,7710,-3715,2176,24072
-3248,3764,-15800,4362,8658,-3540,2192,24093
-1264,2744,-16716,1697,13275,-1272,2192,24114
-312,788,-15852,541,15569,-2608,2128,24135
340,956,-14004,-1185,15327,-3401,2240,24156
-856,-828,-10476,-1130,12652,-5433,2128,24177
-236,-932,-5516,1251,8617,-4837,2208,24198
940,-1760,-6064,-4006,6684,-3819,2176,24219
2192,1404,-7308,-4802,8042,-477,2192,24240
3240,1772,-4740,-3621,6873,-1960,2192,24261
3248,1888,-1448,-2658,4552,-1582,2192,24282
6180,1788,-484,-1440,2679,-779,2144,24303
8128,1012,-4032,-3947,2426,-1271,2208,24324
9448,128,-6620,-4085,2579,-2169,2192,24345
8492,388,-7304,-878,3985,-2686,2192,24366
7856,108,-7804,-727,1714,-3078,2240,24387
7924,-1252,-8264,-283,-832,-3886,2176,24408
8456,-1488,-10764,1420,-2415,-5034,2208,24429
6724,-416,-13580,2074,-711,-5328,2176,24450
3956,-1516,-13700,2748,-2098,-4914,2208,24471
2280,-1816,-14912,2312,-4916,-5395,2144,24492
2116,-2176,-16152,1822,-5967,-6419,2176,24513
2128,-1684,-17636,1876,-5496,-8793,2144,24534
1028,444,-16800,4415,-3466,-10020,2176,24555
-512,-576,-16416,4633,-2286,-10581,2192,24576
-640,312,-17484,3456,-1336,-11451,2192,24597
-436,1152,-15768,3880,-2290,-13109,2128,24618
-156,2452,-13936,5948,-1960,-13846,2192,24639
-1668,3960,-14756,5816,-219,-12280,2288,24660
-1400,5472,-16124,4152,-447,-10904,2208,24681
-184,5380,-15840,2989,-1532,-9610,2176,24702
0,5652,-15000,2425,-2060,-8610,2176,24723
-500,7240,-15948,1710,-3102,-7849,2176,24744
